id	definition	parent	term
http://nomenclature.info/nom/1102		http://nomenclature.info/nom/1090	Barber's Chair
http://nomenclature.info/nom/1101		http://nomenclature.info/nom/1090	Ballroom Chair
http://nomenclature.info/nom/1091		http://nomenclature.info/nom/1090	Armchair
http://nomenclature.info/nom/1100	A chair with arms to which a large round, oval, square, or rectangular back is attached by hinges. The back can be pulled down to rest on the arms, converting it into a table. It may sometimes have a drawer beneath the seat. Used as a chair for sitting when the back is lifted up or as table when the back is pulled down.	http://nomenclature.info/nom/1091	Chair-Table
http://nomenclature.info/nom/1099	A large, low-seated, high-backed, and usually heavily upholstered or padded chair with arms. It typically has a deep seat. Upholstery materials often include velvet, tapestry, leather, and panels of oriental carpeting. It is flanked by wings or lugs to give protection from draughts. Placed in a bedroom or living room, used for comfortable lounging and relaxing.	http://nomenclature.info/nom/1091	Wing Chair
http://nomenclature.info/nom/1098		http://nomenclature.info/nom/1091	Tablet-Arm Chair
http://nomenclature.info/nom/1097		http://nomenclature.info/nom/1091	Porter's Chair
http://nomenclature.info/nom/1096		http://nomenclature.info/nom/1091	Morris Chair
http://nomenclature.info/nom/1095		http://nomenclature.info/nom/1091	Great Chair
http://nomenclature.info/nom/1094		http://nomenclature.info/nom/1091	Gondola Chair
http://nomenclature.info/nom/1093	A chair with arms and usually with an upholstered seat and back. Used for sitting.	http://nomenclature.info/nom/1091	Easy Chair
http://nomenclature.info/nom/1092		http://nomenclature.info/nom/1091	Adirondack Chair
